rollout/ep_len_mean,rollout/exploration_rate,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/success_rate,train/learning_rate,train/loss,train/n_updates
102.54,0.05,633790,4804,-646.20500895,2020,313,0.0,0.0001,0.03590502217411995,145947
103.22,0.05,634246,4808,-646.8325840100001,2021,313,0.0,0.0001,0.008375619538128376,146061
102.89,0.05,634623,4812,-646.42155605,2023,313,0.0,0.0001,0.00933863501995802,146155
102.33,0.05,634984,4816,-645.78351437,2024,313,0.0,0.0001,0.01201249472796917,146245
101.9,0.05,635387,4820,-645.4191787300001,2025,313,0.0,0.0001,0.006465085316449404,146346
102.67,0.05,635821,4824,-646.04302691,2027,313,0.0,0.0001,0.007215304300189018,146455
102.19,0.05,636185,4828,-645.43618384,2028,313,0.0,0.0001,15.107028007507324,146546
101.99,0.05,636553,4832,-645.17814242,2030,313,0.0,0.0001,0.014526775106787682,146638
101.99,0.05,636931,4836,-645.2210943499999,2031,313,0.0,0.0001,0.009460167959332466,146732
101.33,0.05,637309,4840,-644.46522037,2032,313,0.0,0.0001,0.5498046875,146827
101.48,0.05,637728,4844,-644.59570049,2034,313,0.0,0.0001,0.013354269787669182,146931
101.42,0.05,638104,4848,-644.41772808,2035,313,0.0,0.0001,0.012763900682330132,147025
102.66,0.05,638613,4852,-645.57259083,2037,313,0.0,0.0001,0.004274670034646988,147153
102.51,0.05,638992,4856,-645.5446459,2038,313,0.0,0.0001,13.993208885192871,147247
102.4,0.05,639393,4860,-645.4287437400001,2039,313,0.0,0.0001,0.004770972300320864,147348
102.05,0.05,639810,4864,-645.0980744,2041,313,0.0,0.0001,0.010422480292618275,147452
101.16,0.05,640216,4868,-644.31368399,2042,313,0.0,0.0001,0.07221651822328568,147553
101.17,0.05,640615,4872,-644.31080176,2044,313,0.0,0.0001,0.040172968059778214,147653
101.34,0.05,641021,4876,-644.4782132600001,2045,313,0.0,0.0001,0.02096495032310486,147755
100.56,0.05,641412,4880,-643.7140540199999,2047,313,0.0,0.0001,0.04734558239579201,147852
100.89,0.05,641865,4884,-643.9809010900001,2048,313,0.0,0.0001,29.003799438476562,147966
101.14,0.05,642260,4888,-644.21457386,2050,313,0.0,0.0001,0.003145841881632805,148064
101.16,0.05,642635,4892,-644.2573755699999,2051,313,0.0,0.0001,0.007336561568081379,148158
100.67,0.05,643000,4896,-643.6907259699999,2052,313,0.0,0.0001,0.015646981075406075,148249
101.0,0.05,643454,4900,-644.0971831899999,2054,313,0.0,0.0001,0.04186507686972618,148363
100.34,0.05,643824,4904,-643.4219206099999,2055,313,0.0,0.0001,0.009622939862310886,148455
100.3,0.05,644276,4908,-643.23498087,2057,313,0.0,0.0001,0.010165281593799591,148568
101.12,0.05,644735,4912,-644.0505630399998,2059,313,0.0,0.0001,0.0074322582222521305,148683
101.62,0.05,645146,4916,-644.62207315,2060,313,0.0,0.0001,0.0052187880501151085,148786
