time/fps,rollout/ep_len_mean,rollout/success_rate,time/total_timesteps,time/time_elapsed,time/episodes,rollout/exploration_rate,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/loss
247,139.44,0.59,2181553,8819,16984,0.05,-370.36234304999994,0.0001,532888,27.78433609008789
247,138.82,0.56,2182084,8821,16988,0.05,-385.07449477,0.0001,533020,13.847536087036133
247,139.37,0.56,2182667,8824,16992,0.05,-385.39915252,0.0001,533166,0.019854573532938957
247,138.97,0.54,2183232,8826,16996,0.05,-395.07493994,0.0001,533307,13.935407638549805
247,138.29,0.53,2183716,8828,17000,0.05,-399.44221512,0.0001,533428,0.009713785722851753
247,137.61,0.53,2184239,8830,17004,0.05,-398.88203818,0.0001,533559,0.009608685970306396
247,137.0,0.51,2184775,8833,17008,0.05,-408.60830032999996,0.0001,533693,0.017286131158471107
247,137.03,0.51,2185300,8835,17012,0.05,-408.69491781000005,0.0001,533824,0.057586878538131714
247,136.76,0.51,2185850,8837,17016,0.05,-408.474208,0.0001,533962,14.490903854370117
247,136.88,0.53,2186438,8840,17020,0.05,-398.59394036,0.0001,534109,0.02058124914765358
247,136.81,0.53,2186998,8842,17024,0.05,-403.52026976,0.0001,534249,0.011342063546180725
247,136.38,0.52,2187547,8845,17028,0.05,-408.19830072,0.0001,534386,14.37129020690918
247,136.3,0.53,2188134,8847,17032,0.05,-403.19293557000003,0.0001,534533,13.860625267028809
247,135.79,0.51,2188672,8849,17036,0.05,-412.9195737799999,0.0001,534667,0.014417034573853016
247,136.26,0.51,2189206,8852,17040,0.05,-413.38289010999995,0.0001,534801,0.013920707628130913
247,135.88,0.49,2189764,8854,17044,0.05,-423.0167306699999,0.0001,534940,0.019417952746152878
247,135.71,0.47,2190318,8856,17048,0.05,-432.9543309200001,0.0001,535079,0.031595584005117416
247,135.05,0.47,2190813,8858,17052,0.05,-432.42032631,0.0001,535203,0.007801893167197704
247,135.09,0.48,2191352,8860,17056,0.05,-427.57774015999996,0.0001,535337,14.431760787963867
247,135.9,0.51,2191939,8863,17060,0.05,-413.1650109699999,0.0001,535484,14.70938777923584
247,136.4,0.52,2192495,8865,17064,0.05,-408.58148411999997,0.0001,535623,0.00734329828992486
247,137.52,0.52,2193066,8868,17068,0.05,-409.53013975999994,0.0001,535766,0.8113085031509399
247,137.64,0.53,2193634,8870,17072,0.05,-404.59509665999997,0.0001,535908,0.04499442130327225
247,138.15,0.55,2194219,8872,17076,0.05,-394.82470822999994,0.0001,536054,13.8541898727417
247,138.34,0.56,2194815,8875,17080,0.05,-389.8771083,0.0001,536203,0.007596060633659363
247,137.97,0.56,2195350,8877,17084,0.05,-389.53094597,0.0001,536337,0.0348564013838768
247,138.25,0.58,2195909,8879,17088,0.05,-379.6238120400001,0.0001,536477,0.044181931763887405
247,138.37,0.59,2196504,8881,17092,0.05,-374.82667159000005,0.0001,536625,0.03176669403910637
247,138.4,0.6,2197072,8884,17096,0.05,-369.7789067,0.0001,536767,28.721904754638672
247,139.46,0.62,2197662,8886,17100,0.05,-360.67261499,0.0001,536915,0.013953786343336105
247,140.27,0.63,2198266,8889,17104,0.05,-356.39421653000005,0.0001,537066,14.479912757873535
247,140.87,0.66,2198862,8891,17108,0.05,-341.66135937000007,0.0001,537215,0.007278102915734053
247,140.72,0.67,2199372,8893,17112,0.05,-336.45521826,0.0001,537342,0.011756928637623787
247,141.01,0.68,2199951,8896,17116,0.05,-331.71354591000005,0.0001,537487,0.008613805286586285
247,140.74,0.67,2200512,8898,17120,0.05,-336.5688088300001,0.0001,537627,0.01122371107339859
247,140.76,0.66,2201074,8900,17124,0.05,-336.70121886999993,0.0001,537768,0.8138539791107178
247,141.04,0.67,2201651,8903,17128,0.05,-331.83035273,0.0001,537912,0.010423483327031136
247,140.61,0.64,2202195,8905,17132,0.05,-346.59332952,0.0001,538048,28.117443084716797
247,141.07,0.63,2202779,8907,17136,0.05,-351.94809999000006,0.0001,538194,0.008355111815035343
247,141.19,0.62,2203325,8910,17140,0.05,-357.04320476,0.0001,538331,13.909807205200195
247,141.08,0.62,2203872,8912,17144,0.05,-366.97829933,0.0001,538467,0.024940619245171547
247,141.12,0.63,2204430,8914,17148,0.05,-366.97823429000005,0.0001,538607,0.05109059810638428
247,142.42,0.63,2205055,8916,17152,0.05,-367.87634835999995,0.0001,538763,0.00697430782020092
247,142.6,0.65,2205612,8919,17156,0.05,-357.9736234900001,0.0001,538902,0.011855015531182289
247,142.16,0.64,2206155,8921,17160,0.05,-362.84752032999995,0.0001,539038,15.125082015991211
247,142.09,0.63,2206704,8923,17164,0.05,-367.7944209,0.0001,539175,0.008308042772114277
247,142.08,0.62,2207274,8926,17168,0.05,-372.75961271,0.0001,539318,0.01168447732925415
247,141.51,0.62,2207785,8928,17172,0.05,-372.40531760000005,0.0001,539446,0.007916795089840889
247,140.35,0.59,2208254,8930,17176,0.05,-386.62417910000005,0.0001,539563,0.0074361227452754974
247,139.41,0.57,2208756,8932,17180,0.05,-395.93396395000013,0.0001,539688,0.024434275925159454
247,139.74,0.57,2209324,8934,17184,0.05,-396.27425705,0.0001,539830,0.04189334064722061
247,139.76,0.58,2209885,8936,17188,0.05,-391.34745145999995,0.0001,539971,14.363313674926758
247,139.16,0.57,2210420,8939,17192,0.05,-395.94414759,0.0001,540104,0.014369675889611244
247,139.18,0.58,2210990,8941,17196,0.05,-391.04362113,0.0001,540247,14.419523239135742
247,137.68,0.54,2211430,8943,17200,0.05,-409.94841607999996,0.0001,540357,0.026119260117411613
247,137.55,0.53,2212021,8945,17204,0.05,-414.79977736,0.0001,540505,0.008417358621954918
247,136.88,0.53,2212550,8947,17208,0.05,-414.28088069000006,0.0001,540637,0.007506613153964281
247,137.53,0.53,2213125,8950,17212,0.05,-414.74841024999995,0.0001,540781,0.008697795681655407
247,137.38,0.52,2213689,8952,17216,0.05,-419.64709638,0.0001,540922,0.046977199614048004
247,136.82,0.49,2214194,8954,17220,0.05,-434.13744778000006,0.0001,541048,0.008253862150013447
247,137.06,0.51,2214780,8957,17224,0.05,-424.1626502700001,0.0001,541194,13.929191589355469
247,137.02,0.5,2215353,8959,17228,0.05,-429.15109546,0.0001,541338,0.03433024138212204
247,137.37,0.51,2215932,8961,17232,0.05,-434.2987873900001,0.0001,541482,42.44972229003906
247,137.39,0.54,2216518,8964,17236,0.05,-419.22320149,0.0001,541629,0.029480310156941414
247,137.8,0.57,2217105,8966,17240,0.05,-404.44193570999994,0.0001,541776,0.010648668743669987
247,137.6,0.58,2217632,8968,17244,0.05,-389.2190821100001,0.0001,541907,0.04889864847064018
247,137.64,0.58,2218194,8971,17248,0.05,-384.19475076,0.0001,542048,14.418248176574707
247,136.98,0.59,2218753,8973,17252,0.05,-383.8145320599999,0.0001,542188,13.865890502929688
247,137.23,0.59,2219335,8975,17256,0.05,-383.99948184999994,0.0001,542333,0.7872851490974426
247,137.4,0.6,2219895,8978,17260,0.05,-379.07288877999997,0.0001,542473,0.027865642681717873
247,137.2,0.6,2220424,8980,17264,0.05,-378.96712454999994,0.0001,542605,13.910924911499023
247,137.44,0.63,2221018,8982,17268,0.05,-364.17577929,0.0001,542754,0.008159792050719261
247,137.81,0.63,2221566,8985,17272,0.05,-364.44093389,0.0001,542891,14.728507041931152
247,138.69,0.64,2222123,8987,17276,0.05,-360.10529717,0.0001,543030,0.01757577806711197
247,139.57,0.66,2222713,8989,17280,0.05,-355.76537325,0.0001,543178,0.011081607080996037
247,139.41,0.65,2223265,8991,17284,0.05,-360.66126847999993,0.0001,543316,0.016068436205387115
247,139.42,0.64,2223827,8993,17288,0.05,-365.68451207,0.0001,543456,14.499354362487793
247,139.54,0.64,2224374,8995,17292,0.05,-365.67035878999997,0.0001,543593,0.015164335258305073
247,139.38,0.64,2224928,8997,17296,0.05,-365.51831445000005,0.0001,543731,13.918187141418457
247,140.45,0.66,2225475,8999,17300,0.05,-356.35367463,0.0001,543868,28.710113525390625
247,139.17,0.64,2225938,9001,17304,0.05,-365.37340435,0.0001,543984,0.03153463825583458
247,139.04,0.63,2226454,9003,17308,0.05,-370.3857874899999,0.0001,544113,14.350336074829102
247,139.18,0.63,2227043,9005,17312,0.05,-370.41940315,0.0001,544260,0.017714031040668488
247,138.44,0.62,2227533,9007,17316,0.05,-374.85852983000007,0.0001,544383,0.008779930882155895
247,138.14,0.63,2228008,9009,17320,0.05,-369.73406558000005,0.0001,544501,0.008740105666220188
247,137.49,0.6,2228529,9011,17324,0.05,-384.37536052,0.0001,544632,14.284250259399414
247,137.07,0.58,2229060,9013,17328,0.05,-394.26954365,0.0001,544764,0.011945324018597603
247,136.87,0.59,2229619,9015,17332,0.05,-379.16626614000006,0.0001,544904,13.901618003845215
247,136.29,0.56,2230147,9017,17336,0.05,-393.90644699999996,0.0001,545036,0.8049526214599609
247,136.28,0.55,2230733,9019,17340,0.05,-398.95875452,0.0001,545183,0.013493852689862251
247,136.7,0.55,2231302,9021,17344,0.05,-399.3790333,0.0001,545325,14.636509895324707
247,136.74,0.56,2231868,9024,17348,0.05,-394.4207128000001,0.0001,545466,0.012553759850561619
247,136.73,0.54,2232426,9026,17352,0.05,-399.53263171,0.0001,545606,0.017936423420906067
247,135.49,0.52,2232884,9027,17356,0.05,-408.49992063999997,0.0001,545720,28.95077896118164
247,135.42,0.52,2233437,9030,17360,0.05,-408.38303834999994,0.0001,545859,0.030928079038858414
247,136.07,0.54,2234031,9032,17364,0.05,-398.82271968999993,0.0001,546007,0.016867926344275475
247,135.9,0.53,2234608,9034,17368,0.05,-403.71998585999995,0.0001,546151,0.011895785108208656
247,135.67,0.52,2235133,9036,17372,0.05,-408.64043538000004,0.0001,546283,0.012018728069961071
247,135.7,0.53,2235693,9038,17376,0.05,-403.6349896400001,0.0001,546423,0.028882429003715515
247,135.81,0.52,2236294,9040,17380,0.05,-403.73526978,0.0001,546573,0.046291109174489975
247,135.92,0.53,2236857,9042,17384,0.05,-403.7910159400001,0.0001,546714,0.020311392843723297
247,136.13,0.55,2237440,9045,17388,0.05,-398.8057835,0.0001,546859,0.0071014403365552425
247,136.56,0.57,2238030,9047,17392,0.05,-389.10982840000014,0.0001,547007,0.013432410545647144
247,136.51,0.56,2238579,9049,17396,0.05,-394.10485342,0.0001,547144,0.008940797299146652
247,136.82,0.57,2239157,9051,17400,0.05,-389.44776068,0.0001,547289,0.006472763605415821
247,138.22,0.6,2239760,9053,17404,0.05,-375.5900329899999,0.0001,547439,14.746336936950684
247,138.8,0.61,2240334,9055,17408,0.05,-371.05103687,0.0001,547583,0.02688772976398468
247,138.31,0.61,2240874,9058,17412,0.05,-370.78896666,0.0001,547718,0.008604533039033413
247,139.07,0.63,2241440,9060,17416,0.05,-361.2990654099999,0.0001,547859,0.011574511416256428
247,139.93,0.65,2242001,9062,17420,0.05,-351.92273974000005,0.0001,548000,0.024219635874032974
247,140.0,0.65,2242529,9064,17424,0.05,-351.97877181999996,0.0001,548132,0.013448847457766533
247,140.3,0.66,2243090,9066,17428,0.05,-346.9796436799999,0.0001,548272,0.014265093021094799
247,139.76,0.64,2243595,9068,17432,0.05,-356.70442368,0.0001,548398,0.007012952119112015
247,140.0,0.65,2244147,9070,17436,0.05,-351.8356750600001,0.0001,548536,0.00865093246102333
247,139.51,0.64,2244684,9072,17440,0.05,-356.5109981999999,0.0001,548670,0.00932127796113491
247,139.1,0.62,2245212,9074,17444,0.05,-366.2564095299999,0.0001,548802,0.0282455962151289
247,139.12,0.62,2245780,9076,17448,0.05,-366.20250505999996,0.0001,548944,0.004715162795037031
247,139.1,0.64,2246336,9078,17452,0.05,-356.05210402000006,0.0001,549083,0.010883331298828125
247,139.54,0.64,2246838,9080,17456,0.05,-356.57655242,0.0001,549209,13.859919548034668
247,139.36,0.63,2247373,9082,17460,0.05,-361.53581336,0.0001,549343,0.0077826050110161304
247,138.6,0.6,2247891,9084,17464,0.05,-376.08031063000004,0.0001,549472,0.028565391898155212
247,137.86,0.58,2248394,9086,17468,0.05,-385.63515888000006,0.0001,549598,0.015935111790895462
247,137.65,0.58,2248898,9088,17472,0.05,-385.46432451,0.0001,549724,0.005493890959769487
247,137.31,0.56,2249424,9091,17476,0.05,-395.23506913000006,0.0001,549855,0.010867158882319927
247,136.59,0.54,2249953,9093,17480,0.05,-404.72036622,0.0001,549988,0.009565122425556183
247,136.67,0.54,2250524,9095,17484,0.05,-399.78144118999995,0.0001,550130,0.028171082958579063
247,136.77,0.54,2251117,9098,17488,0.05,-394.91580317999984,0.0001,550279,13.962474822998047
247,136.51,0.53,2251681,9100,17492,0.05,-399.73694015999996,0.0001,550420,0.027853475883603096
247,136.51,0.52,2252230,9102,17496,0.05,-404.9210475500001,0.0001,550557,0.026487156748771667
247,136.06,0.51,2252763,9105,17500,0.05,-409.4997928900001,0.0001,550690,0.01658187434077263
247,136.05,0.51,2253365,9107,17504,0.05,-409.42346510000004,0.0001,550841,0.019714459776878357
247,136.36,0.52,2253970,9109,17508,0.05,-404.62958441999996,0.0001,550992,0.0060942769050598145
247,136.69,0.53,2254543,9112,17512,0.05,-399.8906999899999,0.0001,551135,0.012922804802656174
247,136.81,0.52,2255121,9114,17516,0.05,-405.07388778999996,0.0001,551280,0.010572747327387333
247,136.24,0.51,2255625,9116,17520,0.05,-409.5841750800001,0.0001,551406,13.888623237609863
247,136.35,0.52,2256164,9119,17524,0.05,-404.71281478000003,0.0001,551540,13.847902297973633
247,136.56,0.53,2256746,9121,17528,0.05,-399.973644,0.0001,551686,0.007653416134417057
247,137.34,0.55,2257329,9123,17532,0.05,-390.52954117,0.0001,551832,0.007236789911985397
247,137.86,0.55,2257933,9126,17536,0.05,-390.96050052,0.0001,551983,0.007249146234244108
247,137.58,0.53,2258442,9128,17540,0.05,-400.88368126999995,0.0001,552110,0.014076761901378632
247,137.73,0.54,2258985,9130,17544,0.05,-396.01485964999995,0.0001,552246,0.005795125849545002
247,137.48,0.53,2259528,9133,17548,0.05,-401.01141324,0.0001,552381,0.015115032903850079
247,137.62,0.52,2260098,9135,17552,0.05,-406.26887875,0.0001,552524,0.018937906250357628
247,137.55,0.53,2260593,9137,17556,0.05,-401.05947266,0.0001,552648,0.009009202942252159
247,137.49,0.52,2261122,9139,17560,0.05,-406.00440006,0.0001,552780,0.029204998165369034
247,137.59,0.53,2261650,9142,17564,0.05,-400.93187117999986,0.0001,552912,0.011472396552562714
247,138.44,0.56,2262238,9144,17568,0.05,-386.43000272999996,0.0001,553059,0.015515116043388844
247,139.06,0.57,2262804,9147,17572,0.05,-381.70991741,0.0001,553200,14.431758880615234
247,139.15,0.58,2263339,9149,17576,0.05,-376.75133459000006,0.0001,553334,0.010421624407172203
247,139.2,0.59,2263873,9151,17580,0.05,-371.80957019,0.0001,553468,13.881608963012695
247,138.95,0.57,2264419,9153,17584,0.05,-381.67883318,0.0001,553604,0.7627849578857422
247,138.14,0.53,2264931,9155,17588,0.05,-401.16480098,0.0001,553732,0.017375938594341278
247,138.1,0.53,2265491,9158,17592,0.05,-401.12708017999995,0.0001,553872,0.011319074779748917
247,137.37,0.53,2265967,9160,17596,0.05,-400.3556567799999,0.0001,553991,0.01609617844223976
247,137.41,0.53,2266504,9162,17600,0.05,-400.40620653999997,0.0001,554125,0.007217187900096178
247,137.09,0.52,2267074,9164,17604,0.05,-405.23277443000006,0.0001,554268,0.012360361404716969
247,136.33,0.5,2267603,9166,17608,0.05,-414.67670523999993,0.0001,554400,0.022576484829187393
247,135.91,0.48,2268134,9169,17612,0.05,-424.42792384,0.0001,554533,0.029896467924118042
247,135.29,0.47,2268650,9171,17616,0.05,-428.86959031000004,0.0001,554662,0.009008471854031086
247,135.77,0.47,2269202,9173,17620,0.05,-429.24809938999994,0.0001,554800,0.02975655533373356
247,135.17,0.45,2269681,9175,17624,0.05,-438.7918742399999,0.0001,554920,0.017999419942498207
247,134.56,0.44,2270202,9177,17628,0.05,-443.3013022199999,0.0001,555050,0.010070675052702427
247,134.5,0.44,2270779,9179,17632,0.05,-443.1518537400001,0.0001,555194,14.881843566894531
247,133.95,0.44,2271328,9182,17636,0.05,-442.64231507000005,0.0001,555331,0.02946520410478115
247,134.79,0.47,2271921,9184,17640,0.05,-428.11069449,0.0001,555480,0.7578098773956299
247,134.9,0.48,2272475,9186,17644,0.05,-423.07748455,0.0001,555618,14.046372413635254
247,135.06,0.48,2273034,9189,17648,0.05,-423.0873574699999,0.0001,555758,0.00809343159198761
247,134.08,0.47,2273506,9191,17652,0.05,-427.24547955,0.0001,555876,0.7765575051307678
247,135.07,0.48,2274100,9193,17656,0.05,-423.00648866999995,0.0001,556024,0.008873929269611835
247,135.36,0.5,2274658,9195,17660,0.05,-413.16342163999997,0.0001,556164,0.013572147116065025
247,135.94,0.52,2275244,9197,17664,0.05,-403.60639118000006,0.0001,556310,0.01365829911082983
247,135.68,0.51,2275806,9200,17668,0.05,-408.47873544999993,0.0001,556451,0.03287883475422859
247,135.66,0.52,2276370,9202,17672,0.05,-403.56095232000007,0.0001,556592,0.013516037724912167
247,136.1,0.54,2276949,9204,17676,0.05,-393.7868688400001,0.0001,556737,14.6236572265625
247,136.37,0.55,2277510,9207,17680,0.05,-389.00437158999995,0.0001,556877,13.812307357788086
247,136.8,0.56,2278099,9209,17684,0.05,-384.17347742,0.0001,557024,0.02400323748588562
247,137.3,0.59,2278661,9211,17688,0.05,-369.51443829999994,0.0001,557165,0.010628081858158112
247,137.58,0.6,2279249,9214,17692,0.05,-364.67141076,0.0001,557312,0.011601961217820644
